"April 25, 2020",fast delivery with no issues,happy with the purchase,5.0,positive
"April 25, 2020",Keeping the wife happy during quarantine,"Works like a charm, more spendy but the wife was happy",5.0,positive
"April 25, 2020",Prices for switches are too high,im Never spending my hard earned money for scalpers on switches that are over the price,1.0,negative
"April 24, 2020",Bs,This is bs why sell it for like 500-1000 bucks like wtf this is so unfair no one is made out of money and can afford 500 $$ switch,1.0,negative
"April 24, 2020",520 dollars!!?? 😂,"520 dollars?! Lmao. You gotta be kidding me. I just searched switch to see if people really were selling them this high...I just bought one for 300, 4 weeks ago and I get the pandemic is happening but 520 dollars... man I hope nobody buys this haha but if u got the money then go for it but if I were you I'd wait a while until their 300 again.",1.0,negative
"April 24, 2020",Fun for all even those that say they don't like games,Love that we can play it on the big screen amd then take it on the go. The game options are great for all levels of gaming especially for me as a mother who doesn't care for many games. Love that it is multiplayer. Only complaint is the joy stickes eventually wear out and need to replace the controller. Other then that its recommended to all.,5.0,positive
"April 24, 2020",A+,"Arrived quickly and was as described, thank you!",5.0,positive
"January 10, 2020",Me encanto,"Me encanto, excelente calidad!",5.0,positive
"January 10, 2020",Good with lots of room for impovement,"Great idea, and being able to play on the go is my primary reason for buying or. Using the joycons is awkward and uncomfortable. I bough the Hori replacements which much better ergonomics. I also really wish it had a slightly bigger screen. Many things become incredibly difficult to see details on the screen.",4.0,positive
"January 10, 2020",Amazing,Love it. the switch is what I needed,5.0,positive
"January 10, 2020",Se disfruta todos los días,Excelente,5.0,positive
"January 10, 2020",Easy to use,My son loves it,5.0,positive
"January 10, 2020",Awesome,Great product as expected fast shipping.,5.0,positive
"January 10, 2020",Great buy!,"Xmas gift for my son, and he loves it!",5.0,positive
"January 10, 2020",Worth it,Perfect gift for my girlfriend. Worth every penny for the surprise and smile,5.0,positive
"January 10, 2020",Great fun,It’s daughter loves it,5.0,positive
"January 10, 2020",The Switch,The boys seem to love it.,5.0,positive
"January 10, 2020",Better battery life,"More playtime, fun console and great games.",5.0,positive
"January 10, 2020",GAMING MADE EASY,I Love the ease OF SET up. Just plug and play. This was GIVEN TO OUR eldest GRANDDAUGHTER AS A Christmas Gift.,5.0,positive
"January 10, 2020",Usability,Liked very much,5.0,positive
"January 10, 2020",Execelent!,Execelent,5.0,positive
"January 10, 2020",Not bad!,good,5.0,positive
"January 10, 2020",made for a great Christmas present for my daughter,great shipping service,5.0,positive
"January 10, 2020","Very disappointed, won't charge after 1 week",Very disappointed. Used it for a week and now it won't charge on its base or directly with the ac adapter cord. Will be returning,1.0,negative
"January 10, 2020",Delivery,"Muy buen servicio, excelente producto, perfecta hora de entrega del paquete.",5.0,positive
"January 9, 2020",love it,came exactly how it should,5.0,positive
"January 9, 2020",A lot of fun,"Nintendo does it again. Ever since the original NES, they make fun system and games for all ages",5.0,positive
"January 9, 2020",Nice,Super birn,5.0,positive
"January 9, 2020",Great gift,Christmas gift for my grandson was a hit!He loved it!,5.0,positive
"January 9, 2020",Great quality and fun!,My grandson loves it ! Very happy!,5.0,positive
"January 9, 2020",Gift for grandson. He said he loves it!,Gift,5.0,positive
"January 9, 2020",Great,For my grandsons and they love it .I enjoy also  thank u.,5.0,positive
"January 9, 2020",Love it,Got this for my son for Christmas and he loves it!,5.0,positive
"January 9, 2020",Great,Great product for price. Easy to use as well as easy parental controls.,5.0,positive
"January 9, 2020",Amazing console,Couldn't be happier.,5.0,positive
"January 9, 2020",Favorite purchase ever!,"By far my and my family's favorite gaming system ever! Believe me we've had so many gaming consoles over the years. My 8 year old girl will not put this down! She loves Zelda! We plah Just Dance frequently and it has excellent intelligence to what you are doing. It really gets you moving if you are willing! You can play classic with it hooked up in a dock and connected to the TV (console is very small which is great), or you can put the joy cons on the console and play, of you can play with it looking like a old Nintendo 64 controller or x box/playstation controller. It's also touch screen!",5.0,positive
"January 9, 2020",Good,Excellent,5.0,positive
"January 9, 2020",Good,Good game station,5.0,positive
"January 9, 2020",Awesome,Works great,5.0,positive
"January 9, 2020",So fun!,So much fun. Kids and I have loved it!!!,5.0,positive
"January 9, 2020",Great product,The Nintendo Switch is a great game system. The screen is nice and large making gameplay so much more enjoyable. My son's favorite feature of the Switch is the fact that it can be hooked up to the TV AND he can bring it with him on car rides. I definitely recommend this product! Love Nintendo!,5.0,positive
"January 9, 2020",After 1 Month I'm beyond Happy,"Haven't own a Nintendo console since the Wii. I really wanted something I could play bowling, tennis, Mario etc and after finally pulling the trigger I can say 100% I'm in love with the Switch. My wife and I play every single night and it's great to bring on trips. I wish it was easier to travel with and you didn't need the dock and could just use a USB-C to HDMI but other than that even if you're a casual gamer this is a must have.",5.0,positive
"January 9, 2020",Quolity issues,"This was a gift for our son ""from Santa"" and he was sooo thrilled. Until 5 days later right joy-con died (neon red). The console does not see it as attached and none of the buttons on the joy-con are responding. We tried all the on-line help steps available to no avail. Will try to send it to Nintendo for repair, but I am absolutely unhappy about this. And you can imagine how my 7 year old son feels...",1.0,negative
"January 9, 2020",Love!,I haven’t tried hooking it up to a TV yet but I’m loving my Switch! 💕💕,5.0,positive
"January 9, 2020",Love love love,I love the switch! It’s kinda expensive but so worth it!!,5.0,positive
"January 9, 2020",Keeping up.,"My son purchase with his work salary from the black friday special. He bring it to all the get together events to play against friends. Its a portable and console. It just keeping up and will end up collecting dust like the ds, ds lite, 3ds, wii, and wii u.",5.0,positive
"January 9, 2020",great gameing,I gave one to my 9 my year old grandson he had no problem with it from the start,5.0,positive
"January 9, 2020",Nintendo switch,It's great,5.0,positive
"January 8, 2020",Just as expected!,Perfect!!! My son was so happy he got one...,5.0,positive
"January 8, 2020",Kids love it,Kids love it,5.0,positive
"January 8, 2020",You know if you want it,It's a Nintendo switch,5.0,positive
"January 8, 2020",4 daughter,👍,5.0,positive
"January 8, 2020",Fun!,Nice but for many of the games you need to get the switch online subscription. Regardless of the high prices of the games.,5.0,positive
"January 8, 2020",Merry Christmas,Christmas gift for grandson. He has played it ever day since Christmas.,5.0,positive
"January 8, 2020",No llego,No llego,1.0,negative
"January 8, 2020",Bueno,Kids love it,5.0,positive
"January 8, 2020",Disappointing for me.,"On paper this is such a slick device, and combined with great Nintendo titles this was something I was excited for. BUT this system just isn't there yet. Right now I'm dealing with input lag that goes beyond controller or title specific issues. Right from the get go, setting it up (while in portable mode) felt odd. The touch screen and the attached joy-cons felt a bit slow. The input lag was the same speed as my PS4 with my TVs game mode OFF. Not a huge deal for many who will play most casual games, but annoying enough for me that titles like Cuphead and Enter the Gungeon are hindered. I do wonder if the newer portable only version doesn't have these issues, but I'm mainly interested in this as a home console.And it's online component? They still haven't caught up with Xbox Live from the 360 generation. Not a huge problem with Discord around, but still.Lot's of pluses for this system for sure, but this is mainly a message to people to try out the system first and decide for yourself if the input lag is bad enough to ruin your experience. A lot of people are very satisfied and don't even notice. I can see this not being a problem in games like Pokemon, or Mario + Rabbids Kingdom Battle. I've been playing ""The Touryst"", charming, relaxing, and a nice change of pace from what I usually play.",3.0,negative
"January 8, 2020",Works great,My son loves it,5.0,positive
"January 8, 2020","Bit of a rocky start but good for now!  Wish it was as sturdy as my old PS2,  now that is a beast...","I bought this system for myself as a birthday present, and I have enjoyed using it!  The controllers took a bit getting used to detaching on and off properly.  I think the main thing is to be careful about what games you buy if the device will be worth it to you in the end, or if you are excited about upcoming games.  I waited to purchase the Switch until I knew there were about ten games I wanted to play and added about three of them into the in initial cost as well.  I’m pretty picky about my games because I am a casual gamer. Zelda breath of the wild—which I borrowed from my brother later— is more intensive than anything I have played in YEARS.Games are expensive in physical format, although that is my preference.  There are some cheaper games on the online store.  So far my favorite local game shop does not have any used copies of Switch games although they have everything else.  Maybe some day.I might buy a screen protector for it in the future but have not as of yet.  If your Switch is to see heavy use by an entire family or if as an owner you plan to travel with it I’d recommend one but that is not the case for me. I did have a problem within a month of ordering the machine where the fan started whirring LOUDLY.  At first only when it was plugged in to charge then all the time when it was at rest, then at last even while playing a game.  I called Nintendo customer service and had it repaired (although I had to send it back three times with the same issue to a radioshack in Syracuse NY.  Last time I sent it in they just replaced the system.)If I have a problem in the future I will request replacement rather than repair, especially if it’s going back to New York.  Just not happening.  At least customer service was good, but I was becoming a bit disgruntled toward the end there with their techs!  For my troubles customer service gave me a new set of controllers automatically and then later, three months free on the eshop.  Oh, and the second and third shipments were two day free.",4.0,positive
"January 8, 2020",Very good!,Just what you would expect! Haven't had any issues and hope it continues that way!,5.0,positive
"January 8, 2020",Lots of fun,"I purchased this as a gift, and the recipient loved it.  This is the one with the longer battery life.",5.0,positive
"January 8, 2020",Wonderful gift,It was perfect.,5.0,positive
"January 8, 2020",Awesome,No complaints at all,5.0,positive
"January 8, 2020",Love it,My grandson loves it he told best Christmas gift ever.,4.0,positive
"January 8, 2020",Little pricey,Does what its supposed to do,5.0,positive
"January 8, 2020",Fun!,Great,5.0,positive
"January 7, 2020",Rapidez y calidad,Excelente producto y entrega muy rápida,5.0,positive
"January 7, 2020",great product,"Portable, very fun and easy to use, recommended!",5.0,positive
"January 7, 2020",Great game set,My kid loves the Nintendo Switch. Easy to work. Received quickly and packaged well.,5.0,positive
"January 7, 2020",No ac adaptor,Actually really upset. I was so excited to come home and hook this up. However there was no AC Adaptor in my box. There is also no way to contact the seller. Debating on returning,1.0,negative
"January 7, 2020",Defective item that had already been opened.,Item was already opened with fingerprints all over the screen.  This item did not turn on at all nor would it charge.  I returned the item.,1.0,negative
"January 7, 2020",Got exactly what I asked for,Just what I purchased,5.0,positive
"January 7, 2020",Son loves it,My 16 yr old son! He loves it!,5.0,positive
"January 7, 2020",Xmas toy,It works as it should,5.0,positive
"January 7, 2020",Excellent present,Works perfectly fine. My son love it,5.0,positive
"January 7, 2020",Exactly what we expected.,Nintendo games,5.0,positive
"January 7, 2020",It was good,It was what I expected!!,5.0,positive
